PMID,Sentence,label
34430591,"While novel ETV1 p.E462Q and p.P159S mutations were found in the SCLC tissues of TKIs-resistant LUAD patients, their role in acquired resistance to EGFR-TKIs via SCLC transformation requires further investigation",Complex Sentence
38543298,"Radiolabeled drug delivery systems, which combine therapeutic agents with radiotracers for precise tumor localization and real-time monitoring, have the potential to revolutionize lung cancer management by enhancing targeted therapy and enabling personalized treatment regimens through advanced imaging modalities like PET and SPECT, ultimately improving patient outcomes and advancing personalized medicine",Complex Sentence
37388220,"Lung cancer patients with COPD exhibited higher tumor neoantigen burden, increased levels of CD68+ macrophages and CD8+ T lymphocytes, and enrichment of the PI3K-Akt signaling pathway compared to those without COPD, which suggests that COPD status should be considered in treatment decisions and highlights the potential role of immunotherapy for this patient subgroup.",Complex Sentence
36933328,"Non-coding RNAs (ncRNAs), including microRNAs (miRNAs), long non-coding RNAs (lncRNAs), and circular RNAs (circRNAs), which are dysregulated in non-small cell lung carcinoma (NSCLC) and play critical roles in tumorigenesis by modulating signaling pathways and gene expression, offer promising potential as diagnostic biomarkers and therapeutic targets for lung cancer patients.",Complex Sentence
32201213,"While the combination of everolimus (EVE) and fangchinoline (FCL) effectively activated the Notch 3/c-MYC axis and induced apoptosis in lung cancer cells, the conditional genetic deletion of CHOP reduced apoptosis to the same extent as blocking the Notch 3/c-MYC axis, suggesting that the Notch 3/c-MYC/CHOP pathway plays a critical role in mediating the anti-lung cancer effects of this combination therapy",Complex Sentence
36363507,"An important part of a patient’s therapy, which helps to prevent postoperative complications and improve quality of life, is pulmonary rehabilitation (PR)",Complex Sentence
36462630,"Machine learning-based approaches play a critical role in integrating and analyzing these large and complex datasets, 
which have extensively characterized lung cancer through the use of different perspectives from these accrued data.",Complex Sentence
36309619,"Since hypoxia promotes lung cancer progression by inhibiting miR-27a expression, the activation of NRF2 under hypoxic conditions plays a crucial role in regulating the epithelial-mesenchymal transition process.""",Complex Sentence
33874792,"Though leukoplakia was seen in 4 patients, obvious neoplasm and occult paralysis were not seen in this cohort.",Complex Sentence
37152062,"DNA methylation changes, which are linked to the modulation of cancer-related cellular pathways and gene-expression signatures, may contribute to the acquisition of resistance to tyrosine kinase inhibitors (TKIs) in EGFR-mutated NSCLC patients, though further confirmatory studies are needed to validate these findings",Complex Sentence
39422665,"Although immune checkpoint blockade has revolutionized the treatment of advanced lung cancer, many patients still do not respond well, often due to the lack of functional T cell infiltration.",Complex Sentence
39071569,"Circulating tumor DNA (ctDNA) demonstrated high concordance (97.53%) with tissue samples in detecting PIK3CA mutations in lung cancer patients, with sensitivity of 72% and specificity of 99.2%, which suggests that liquid biopsy could serve as a reliable alternative to tissue biopsy for identifying PIK3CA mutations in clinical practice",Complex Sentence
37274249,"Because the complexity of lung cancer histopathology images and the increasing number of patients far exceed the capacity of pathologists, especially in less-developed countries, this study proposes a multilayer perceptron model (MIM) that combines global and local information to achieve high diagnostic accuracy and performance in lung adenocarcinoma detection.""",Complex Sentence
33321613,"In the presented study, PDA NPs were synthesized in a mild and cost-effective fashion by self-polymerization of dopamine in an alkaline environment.",Complex Sentence
38053828,"While Sanghuangporus sanghuang alcohol extract (SAE) significantly inhibited lung cancer proliferation both in vitro and in vivo, it did so without causing cytotoxicity and by suppressing key pro-proliferative proteins and STAT3 expression.",Complex Sentence
38751642,"Ethaverine and papaverine, which inhibit CDK5 kinase activity and reduce cell proliferation and migration in non-small cell lung cancer (NSCLC) cell lines, show enhanced efficacy when combined with the ATP-competitive inhibitor roscovitine, suggesting a dual mechanism of CDK5 inhibition and offering promising leads for lung cancer therapy",Complex Sentence
32853940,"Given that serum sICAM-1 levels were markedly higher in stage III/IV than in stage I/II lung cancer patients, this study suggests that sICAM-1 may act as a potential marker for diagnosing lung cancer and predicting its staging.",Complex Sentence
39858036,"Although small-cell lung cancer (SCLC) is marked by rapid proliferation, a propensity for early metastasis, and an overall poor prognosis, targeted therapies such as topoisomerase inhibitors, DLL3 inhibitors, HDAC inhibitors, PARP inhibitors, and Chk1 inhibitors have introduced new therapeutic options for future applications.",Complex Sentence
38499532,"PTEN acts as a double-edged sword that differentially regulates EGFR(L858R)-induced lung cancer
 progression in different genomic backgrounds,
 and understanding the PTEN in lung cancer with different genetic
 backgrounds will be beneficial for therapy in the future.",Complex Sentence
33207677,"Although BNIP3 plays a crucial role in autophagy, metabolic pathways, and metastasis-related processes in different tumor types, mitochondria functioning and mitochondrial proteins, including BNIP3, have a strong impact on lung cancer development and progression.",Complex Sentence
37872370,"Therefore, serum KL-6 may be a surrogate marker for predicting the occurrence and assessing the severity of TR-ILD at the time of suspected ILD and before lung cancer treatment.",Complex Sentence
37830618,DC vaccination is a promising cellular immunotherapy that has the potential to facilitate anti-tumor immune responses and transform the composition of the NSCLC TME via tumor antigen presentation and cell-cell communication,Complex Sentence
34178802,"Fluorinated Schiff bases exhibited significant cytotoxic and antiproliferative effects on 
A549 lung cancer cells, with apoptosis playing a key role in cell death.",Complex Sentence
36193770,"PTPL1 knockdown increased lung cancer cell proliferation by activating the Src/ERK pathway and promoting YAP1 nuclear translocation, which suggests that PTPL1 suppresses lung cancer pathogenesis by counteracting the Src/ERK/YAP1 signaling axis.",Complex Sentence
33014782,"Prioritizing lung sparing in external beam accelerated partial breast irradiation (APBI) significantly reduces the risk of secondary lung cancer, with non-coplanar techniques achieving the lowest risks, while the associated increase in breast dose results in only a negligible rise in fibrosis risk, potentially improving overall survival by mitigating secondary lung cancer and cardiovascular toxicity.",Complex Sentence
33209645,"While cell lines have been instrumental in studying cancer biology and testing potential therapies, the high failure rate of experimental treatments in phase III clinical trials suggests that these models may not fully replicate patient tumor biology, highlighting the need for improved pre-clinical models such as patient-derived cell lines, xenografts, and organoids to better predict clinical outcomes.",Complex Sentence
33688567,"The Self-Management Support Program for Elderly Patients with Lung Cancer, which was developed to assist those receiving oral molecularly targeted therapy, was deemed appropriate and useful by nurses, although concerns about time constraints and knowledge gaps highlight the need for further modifications and clinical implementation",Complex Sentence
39882725,"Because NT-proBNP levels were significantly higher in lung cancer patients without comorbidities (249 pg/mL) compared to control subgroups without comorbidities (88 pg/mL) (p=0.001), clinical suspicion of malignancy may be raised if high NT-proBNP levels cannot be explained by other risk factors or disorders.",Complex Sentence
34892027,"The QuarterNet(adaptive) model, which incorporates a quarter-split network and domain adaptive strategy, achieved robust performance (AUC > 0.88) in predicting EGFR mutation status from CT images of varying thicknesses, offering a non-invasive and clinically practical tool for lung cancer treatment planning",Complex Sentence
38313551,"Machine learning models, which were developed using four distinct approaches and MACCS/Morgan2 fingerprints, identified 205 potential inhibitors from a database of natural products, with indolocarbazole scaffolds emerging as the most promising candidates for targeting EGFR mutants in lung cancer",Complex Sentence
37260173,"In the present study, xanthatin suppresses the expression of glucose transporter 1 (GLUT1), attenuates the pentose phosphate pathway (PPP), and causes ROS accumulation and apoptosis, thereby mitigating the antioxidative capacity in DDP-resistant cells.",Complex Sentence
38032677,"Because racial and ethnic minority groups are more likely to have environmental exposures to air pollution and carcinogens due to neighborhood segregation and poor housing quality, structural racism must be considered a fundamental contributor to the unequal distribution of lung cancer risk factors.",Complex Sentence
39520167,"The combination of five-tone therapy and acupoint massage significantly improved the management of chemotherapy-related symptoms in lung cancer patients, with a 92.5% total effective rate in the treatment group compared to 85% in the control group, which highlights the potential of integrating traditional Chinese medicine techniques into supportive care for chemotherapy patients.",Complex Sentence
38385745,"Here we report that in contrast to the tumor-promoting role of RelA, NF-κB2 intrinsic to lung epithelial and tumor cells had no marked effect on lung tumorigenesis and progression.",Complex Sentence
34831584,"The incidence of lung cancer has increased more than 3% in less than two decades, which highlights the growing public health concern",Complex Sentence
33688566,"Social support significantly reduces psychological distress in Chinese lung cancer patients, with this effect partially mediated by enhanced confrontation coping and reduced perceived stress, highlighting the need for psychological interventions to strengthen the buffering effects of social support.",Complex Sentence
39472304,"Patients receiving targeted therapies (TT) and immunotherapies (IO) for advanced or metastatic lung cancer reported unmet supportive care needs, including psychological, informational, and practical challenges, which highlights the necessity for timely and accessible supportive care services to address their high levels of distress",Complex Sentence
34780261,"GSTP1 Ile(105)Val polymorphism, which is associated with increased risk of leukopenia and anemia in North Indian lung cancer patients undergoing platinum-based chemotherapy, may serve as a predictive biomarker for hematological toxicity, although it does not significantly influence overall survival or thrombocytopenia risk",Complex Sentence
33692861,"Hypermutant lung cancer, which is characterized by a higher proportion of smokers, squamous cell carcinoma cases, and mutations in low-density lipoprotein receptor-related protein 1B, exerts distinctive clinical and genetic features that may serve as complementary indicators for screening patients sensitive to immunotherapy",Complex Sentence
35049689,"Intrapericardial administration of carboplatin (CBDCA; 150 mg/body) following catheter drainage demonstrated promising effectiveness and feasibility in controlling lung cancer-associated malignant pericardial effusion (MPE), which can progress to life-threatening cardiac tamponade, with 66.7% of cases showing controlled effusion 30 days post-treatment.",Complex Sentence
38761046,"Given the predominance of clear cell morphology, the diagnosis of metastatic renal or ovarian cancer was entertained",Complex Sentence
34546599,"While studies on the exact function of autophagy in lung cancer are contradictory, targeting autophagy combined with traditional routine therapies such as chemotherapy, especially in advanced stages of lung cancer, can be an effective anticancer approach, as suggested by a comprehensive review of published articles.",Complex Sentence
38910770,"The systemic immune-inflammation index (SII), neutrophil-to-lymphocyte ratio (NLR), and platelet-to-lymphocyte ratio (PLR), which showed statistically significant differences among healthy individuals, lung cancer patients without metastases, and those with brain metastases, may serve as cost-effective and readily accessible prognostic markers for disease progression",Complex Sentence
36817434,"Since myeloid-derived suppressor cells (MDSCs) promote lung cancer progression by suppressing the immune response, understanding how long non-coding RNAs (lncRNAs) regulate MDSCs could help develop novel therapeutic strategies.",Complex Sentence
36142605,"Hypomethylation within this region caused increased mRNA transcription of the closest gene NHLRC1 in lung tumors, which was associated with diminished AKT phosphorylation at serine 473 and the expression of pro-apoptotic AKT-repressed genes.",Complex Sentence
34562845,"While photodynamic therapy (PDT) is an emerging anti-tumor strategy, its effectiveness can be further enhanced by utilizing macrophages as carriers to deliver chlorin e6 (Ce6) to lung cancer cells.",Complex Sentence
32532368,"While in the past it was considered to primarily afflict males, in recent decades the number of female patients has risen, such that rates among females are similar to those among males.",Complex Sentence
38906146,"While 22% of the significant variants showed allelic effects in both A549 (adenocarcinoma) and H520 (squamous cell carcinoma) cell lines, a subset of the functional variants displayed a significant cell-type interaction.",Complex Sentence
36634094,"As a result, studying the roles of these genes in lung cancer may also help to understand their involvements as well as their roles in the pathogenesis of PD.",Complex Sentence
37503465,"An 82-year-old woman with decreased visual acuity was found to have choroidal metastasis through multimodal evaluation, which was later linked to a bronchogenic adenocarcinoma confirmed by thoracic CT and pleural biopsy, highlighting the critical role of ophthalmological examinations in early detection and intervention for metastatic lung cancer",Complex Sentence
37766868,"Although matrix metalloproteinases (MMPs) are widely investigated in lung cancer (LC), almost no review systematically clarifies their multifaceted roles in LC.",Complex Sentence
32341019,"Although Lung-CLiP, developed using machine learning, is a liquid-biopsy method being studied for early detection of lung cancer, it is hoped that it will increase screening rates and patient survival.",Complex Sentence
34834454,"The management of lung cancer has shifted from a ""one-fits-all"" approach to personalized treatment, driven by emerging targeted therapies and immunotherapies, which have significantly improved clinical outcomes and highlighted the importance of molecular biomarkers in prognosis and therapy response prediction.",Complex Sentence
38505061,"Neoadjuvant therapy with intralesional Rose Bengal (RB) injection, which elicited stronger cytotoxic T lymphocyte (CTL) responses and enhanced T central memory cells (Tcm) and T memory stem cells (Tscm) + naïve T cells (Tn) infiltration, effectively prevented tumour recurrence and metastasis in a lung cancer mouse model",Complex Sentence
39585559,"NotebookLM, a retrieval-augmented generation large language model (RAG-LLM), which achieved 86% accuracy in lung cancer staging by referencing reliable external knowledge (REK), outperformed GPT-4o and demonstrated high accuracy in locating references, offering radiologists a reliable tool for image diagnosis and reducing the risk of hallucinations",Complex Sentence
39654791,"While the evidence linking indoor radon exposure to lung cancer is conclusive and supported by high-quality case-control studies, the associations with COPD and leukemia remain inconclusive due to methodological limitations and conflicting findings, which highlights the need for further research using robust study designs and direct radon measurements to clarify these relationships.",Complex Sentence
34582541,"Au-RGD-miR-320a nanoparticles, designed for integrin αvβ3-targeted delivery of miR-320a, combined with laser irradiation, significantly inhibited lung cancer proliferation and metastasis while enhancing apoptosis, which suggests a promising anticancer strategy by targeting the miR-320a/Sp1/PTEN/MMP9 pathway.",Complex Sentence
